,No.,Company,Sector,Entry_valuation($B),Current_valuation($B),Entry,Location,Investors,Type,time_period,value_over_period,eval_rise_per_year,Year
0,1,InMobi,Adtech,1.0,1.0,Sep/2011,Bangalore,"KPCB, Sherpalo Ventures, SoftBank",U,11.75,0.0,0.0,2011-09-01
1,2,Flipkart^,E-Commerce,1.0,37.6,Feb/2012,Bangalore,"Accel, Tiger Global, Naspers, SoftBank, Tencent",GU,11.33,36.6,3.23,2012-02-01
2,3,Mu Sigma,SaaS,1.0,1.5,Feb/2013,Bangalore,"Accel, Sequoia Capital, General Atlantic",U,10.33,0.5,0.05,2013-02-01
3,4,Snapdeal*,E-Commerce,1.8,2.4,Oct/2014,Delhi,"Kalaari Capital, Nexus Ventures, Bessemer, SoftBank, Alibaba",FU,8.67,0.5999999999999999,0.07,2014-10-01
4,5,PayTM^,Fintech,1.7,16.0,Feb/2015,Noida,"Saama Capital, Elevation Capital, Alibaba, Berkshire Hathway",GU,8.33,14.3,1.72,2015-02-01
5,6,Ola Cabs,Mobility,1.6,7.3,Mar/2015,Bangalore,"Tiger Global, Matrix Partners, Steadview, SoftBank, Tencent",U,8.25,5.699999999999999,0.69,2015-03-01
6,7,Quikr*,Marketplace,1.0,1.5,Apr/2015,Bangalore,"Matrix Partners, Omidyar Network, Norwest, Kinnevik, Steadview Capital",FU,8.17,0.5,0.06,2015-04-01
7,8,Zomato^,Foodtech,1.0,5.4,Sep/2015,Gurgaon,"Info Edge, Sequoia Capital, Vy Capital, Alibaba, Steadview Capital",GU,7.75,4.4,0.57,2015-09-01
8,9,ShopClues*,E-Commerce,1.1,1.1,Jan/2016,Gurgaon,"Nexus Ventures, Helion Ventures, Beenos, Tiger Global, Others",FU,7.42,0.0,0.0,2016-01-01
9,10,Hike*,Social,1.4,1.4,Aug/2016,Delhi,"Tiger Global, Tencent, Foxconn",FU,6.83,0.0,0.0,2016-08-01
10,11,BYJUS,Edtech,1.0,22.0,Jan/2018,Bangalore,"Aarin Capital, Sequoia Capital, Lightspeed Ventures, Tencent, General Atlantic, Tiger Global",U,5.42,21.0,3.87,2018-01-01
11,12,PayTM Mall*,E-Commerce,1.9,3.0,Apr/2018,Noida,"Elevation Capital, Alibaba, SoftBank, eBay",FU,5.17,1.1,0.21,2018-04-01
12,13,Swiggy,Foodtech,1.4,10.7,Jun/2018,Bangalore,"Accel, Elevation Capital, Norwest, Naspers, Tencent, Invesco",U,5.0,9.299999999999999,1.86,2018-06-01
13,14,PolicyBazaar^,Fintech,1.0,2.4,Jun/2018,Gurgaon,"Info Edge, Intel, Inventus Capital, Tiger Global, SoftBank, Tencent, Steadview Capital",GU,5.0,1.4,0.28,2018-06-01
14,15,Freshworks^,SaaS,1.5,3.5,Jul/2018,Chennai,"Accel, Tiger Global, Google, Sequoia Capital, Steadview Capital",GU,4.92,2.0,0.41,2018-07-01
15,16,OYO Rooms,Proptech,4.9,9.6,Sep/2018,Gurgaon,"Lightspeed Ventures, Sequoia Capital, SoftBank",U,4.75,4.699999999999999,0.99,2018-09-01
16,17,Udaan,B2B,1.0,3.1,Sep/2018,Bangalore,"Lightspeed Ventures, DST Global, Tencent",U,4.75,2.1,0.44,2018-09-01
17,18,BillDesk,Fintech,1.6,1.6,Nov/2018,Mumbai,"SIDBI VC, TA Associates, General Atlantic",U,4.58,0.0,0.0,2018-11-01
18,19,Delhivery^,Logistics Services,1.6,3.0,Jan/2019,Gurgaon,"Nexus Ventures, Multiples PE, Tiger Global, Carlyle, SoftBank, Fosun Group, Steadview Capital",GU,4.42,1.4,0.32,2019-01-01
19,20,Rivigo,Logistics,1.1,1.1,Feb/2019,Gurgaon,"Elevation Capital, Warburg Pincus",U,4.33,0.0,0.0,2019-02-01
20,21,BigBasket,E-Commerce,1.1,2.0,Mar/2019,Bangalore,"Ascent Capital, Helion Ventures, Bessemer, IFC, Alibaba",U,4.25,0.8999999999999999,0.21,2019-03-01
21,22,Dream11,Gaming,1.0,8.0,Apr/2019,Mumbai,"Kalaari Capital, Tencent, Multiples PE, Steadview, Alpha Wave Global",U,4.17,7.0,1.68,2019-04-01
22,23,Druva Software,SaaS,1.0,2.0,Jun/2019,Pune,"WestBridge, Nexus Ventures, Sequoia Capital",U,4.0,1.0,0.25,2019-06-01
23,24,Icertis,SaaS,1.0,5.0,Jul/2019,Pune,"Eight Roads, B Capital, PremjiInvest",U,3.92,4.0,1.02,2019-07-01
24,25,CitiusTech,IT,1.1,1.1,Jul/2019,Mumbai,"General Atlantic, Baring Asia",U,3.92,0.0,0.0,2019-07-01
25,26,Ola Electric,Mobility,1.1,5.0,Jul/2019,Bangalore,"SoftBank, Tiger Global, Matrix Partners",U,3.92,3.9,0.99,2019-07-01
26,27,Lenskart,E-Commerce,1.1,4.5,Sep/2019,Delhi,"SoftBank, Kedaara Capital, TPG, Chiratae Ventures, TR Capital",U,3.75,3.4,0.91,2019-09-01
27,28,Pine Labs,Fintech,1.6,5.0,Jan/2020,Noida,"Sequoia Capital India, New Atlantic Ventures, Altimeter Capital, Temasek, Mastercard",U,3.42,3.4,0.99,2020-01-01
28,29,Nykaa^,E-Commerce,1.2,1.8,Mar/2020,Mumbai,"Techpro Ventures, TVS Capital, Sharrp Ventures, TPG Growth, Steadview Capital",GU,3.25,0.6000000000000001,0.18,2020-03-01
29,30,Postman,SaaS,2.0,5.6,Jun/2020,Bangalore,"Nexus Ventures, Charles River Ventures, Insight Venture Partners",U,3.0,3.5999999999999996,1.2,2020-06-01
30,31,Unacademy,Edtech,1.4,3.4,Sep/2020,Bangalore,"Blume Ventures, Nexus Venture Partners, Sequoia Capital India, Elevation Capital, General Atlantic, SoftBank, Steadview Capital",U,2.75,2.0,0.73,2020-09-01
31,32,RazorPay,Fintech,1.0,7.5,Oct/2020,Bangalore,"Matrix Partners India, Tiger Global, Sequoia Capital India, DST Global",U,2.67,6.5,2.43,2020-10-01
32,33,Cars24,Marketplace,1.0,3.3,Nov/2020,Gurgaon,"Asia Venture Group, Apoletto, Unbound, DST Global, Sequoia Capital India, Alpha Wave Global",U,2.58,2.3,0.89,2020-11-01
33,34,PhonePe^,Fintech,5.5,12.0,Dec/2020,Bangalore,"Tiger Global, Tencent",GU,2.5,6.5,2.6,2020-12-01
34,35,Zenoti,SaaS,1.0,1.5,Dec/2020,Hyderabad,"Accel India, Norwest, Tiger Global, Steadview Capital, Advent International",U,2.5,0.5,0.2,2020-12-01
35,36,Dailyhunt,Content,1.0,5.0,Dec/2020,Bangalore,"Matrix Partners India, Omidyar Network, Sequoia Capital India, Alpha Wave Global, CPPIB",U,2.5,4.0,1.6,2020-12-01
36,37,Glance InMobi,Content,1.0,2.0,Dec/2020,Bangalore,"Mithril Capital, Google",U,2.5,1.0,0.4,2020-12-01
37,38,Digit,Fintech,1.9,4.0,Jan/2021,Bangalore,"Fairfax Holdings, A91 Partners, Faering Capital, TVS Capital",U,2.42,2.1,0.87,2021-01-01
38,39,Innovaccer,SaaS,1.3,3.2,Feb/2021,Noida,"WestBridge, Lightspeed Ventures, M12 (Microsoft), Tiger Global, Steadview Capital",U,2.33,1.9000000000000001,0.82,2021-02-01
39,40,Infra.Market,B2B,1.0,2.5,Feb/2021,Thane,"Accel India, Nexus Venture Partners, Tiger Global, Evolvence India",U,2.33,1.5,0.64,2021-02-01
40,41,Five Star Business Finance^,NBFC,1.4,1.4,Mar/2021,Chennai,"Matrix Partners India, Sequoia Capital India, Norwest, Morgan Stanley, TPG Capital",GU,2.25,0.0,0.0,2021-03-01
41,42,FirstCry,E-Commerce,1.7,1.7,Mar/2021,Pune,"Chiratae Ventures, Elevation Capital, Vertex, SoftBank",U,2.25,0.0,0.0,2021-03-01
42,43,Meesho,E-Commerce,2.1,4.9,Apr/2021,Bangalore,"Sequoia Capital India, Elevation Capital, SoftBank, Naspers",U,2.17,2.8000000000000003,1.29,2021-04-01
43,44,CRED,Fintech,2.2,6.4,Apr/2021,Bangalore,"Sequoia Capital India, Ribbit Capital, DST Global, Alpha Wave Global",U,2.17,4.2,1.94,2021-04-01
44,45,PharmEasy,E-Commerce,1.5,5.6,Apr/2021,Mumbai,"Orios VP, Eight Roads Ventures, Temasek, Naspers, Steadview Capital",U,2.17,4.1,1.89,2021-04-01
45,46,Groww,Fintech,1.0,3.0,Apr/2021,Bangalore,"Sequoia Capital India, Y Combinator, Tiger Global, Ribbit Capital",U,2.17,2.0,0.92,2021-04-01
46,47,ShareChat,Social Media,2.1,4.9,Apr/2021,Bangalore,"India Quotient, Elevation Capital, Lightspeed Ventures, Tiger Global, Twitter",U,2.17,2.8000000000000003,1.29,2021-04-01
47,48,Gupshup,Conversational Messaging,1.4,1.4,Apr/2021,Mumbai,"Tiger Global, Charles River Ventures, Helion Ventures",U,2.17,0.0,0.0,2021-04-01
48,49,ChargeBee,SaaS,1.4,3.5,Apr/2021,Chennai,"Tiger Global, Steadview Capital, Sapphire Ventures, Accel India, Insight Venture Partners",U,2.17,2.1,0.97,2021-04-01
49,50,Urban Company,Marketplace,2.1,2.1,Apr/2021,Delhi,"Tiger Global, Steadview Capital, Accel India, Elevation Capital, Vy Capital, Prosus Ventures",U,2.17,0.0,0.0,2021-04-01
