,Company,Investors
0,InMobi,KPCB
1,InMobi,Sherpalo Ventures
2,InMobi,SoftBank
3,Flipkart^,Accel
4,Flipkart^,Tiger Global
5,Flipkart^,Naspers
6,Flipkart^,SoftBank
7,Flipkart^,Tencent
8,Mu Sigma,Accel
9,Mu Sigma,Sequoia Capital
10,Mu Sigma,General Atlantic
11,Snapdeal*,Kalaari Capital
12,Snapdeal*,Nexus Ventures
13,Snapdeal*,Bessemer
14,Snapdeal*,SoftBank
15,Snapdeal*,Alibaba
16,PayTM^,Saama Capital
17,PayTM^,Elevation Capital
18,PayTM^,Alibaba
19,PayTM^,Berkshire Hathway
20,Ola Cabs,Tiger Global
21,Ola Cabs,Matrix Partners
22,Ola Cabs,Steadview
23,Ola Cabs,SoftBank
24,Ola Cabs,Tencent
25,Quikr*,Matrix Partners
26,Quikr*,Omidyar Network
27,Quikr*,Norwest
28,Quikr*,Kinnevik
29,Quikr*,Steadview Capital
30,Zomato^,Info Edge
31,Zomato^,Sequoia Capital
32,Zomato^,Vy Capital
33,Zomato^,Alibaba
34,Zomato^,Steadview Capital
35,ShopClues*,Nexus Ventures
36,ShopClues*,Helion Ventures
37,ShopClues*,Beenos
38,ShopClues*,Tiger Global
39,ShopClues*,Others
40,Hike*,Tiger Global
41,Hike*,Tencent
42,Hike*,Foxconn
43,BYJUS,Aarin Capital
44,BYJUS,Sequoia Capital
45,BYJUS,Lightspeed Ventures
46,BYJUS,Tencent
47,BYJUS,General Atlantic
48,BYJUS,Tiger Global
49,PayTM Mall*,Elevation Capital
50,PayTM Mall*,Alibaba
51,PayTM Mall*,SoftBank
52,PayTM Mall*,eBay
53,Swiggy,Accel
54,Swiggy,Elevation Capital
55,Swiggy,Norwest
56,Swiggy,Naspers
57,Swiggy,Tencent
58,Swiggy,Invesco
59,PolicyBazaar^,Info Edge
60,PolicyBazaar^,Intel
61,PolicyBazaar^,Inventus Capital
62,PolicyBazaar^,Tiger Global
63,PolicyBazaar^,SoftBank
64,PolicyBazaar^,Tencent
65,PolicyBazaar^,Steadview Capital
66,Freshworks^,Accel
67,Freshworks^,Tiger Global
68,Freshworks^,Google
69,Freshworks^,Sequoia Capital
70,Freshworks^,Steadview Capital
71,OYO Rooms,Lightspeed Ventures
72,OYO Rooms,Sequoia Capital
73,OYO Rooms,SoftBank
74,Udaan,Lightspeed Ventures
75,Udaan,DST Global
76,Udaan,Tencent
77,BillDesk,SIDBI VC
78,BillDesk,TA Associates
79,BillDesk,General Atlantic
80,Delhivery^,Nexus Ventures
81,Delhivery^,Multiples PE
82,Delhivery^,Tiger Global
83,Delhivery^,Carlyle
84,Delhivery^,SoftBank
85,Delhivery^,Fosun Group
86,Delhivery^,Steadview Capital
87,Rivigo,Elevation Capital
88,Rivigo,Warburg Pincus
89,BigBasket,Ascent Capital
90,BigBasket,Helion Ventures
91,BigBasket,Bessemer
92,BigBasket,IFC
93,BigBasket,Alibaba
94,Dream11,Kalaari Capital
95,Dream11,Tencent
96,Dream11,Multiples PE
97,Dream11,Steadview
98,Dream11,Alpha Wave Global
99,Druva Software,WestBridge
100,Druva Software,Nexus Ventures
101,Druva Software,Sequoia Capital
102,Icertis,Eight Roads
103,Icertis,B Capital
104,Icertis,PremjiInvest
105,CitiusTech,General Atlantic
106,CitiusTech,Baring Asia
107,Ola Electric,SoftBank
108,Ola Electric,Tiger Global
109,Ola Electric,Matrix Partners
